日期,開盤,最高,最低,收盤,MA10,MA20,均線狀態,追蹤方向,追蹤中缺口數,缺口回補基準值,多方觀察期中,候選State,候選總持股比例,當日事件
2026-03-09,7388.33,7826.49,7363.17,7810.4,8005.9,8092.04,空方確認,,0,,,1,80%,
2026-03-10,7846.53,8017.06,7831.11,7865.12,7959.18,8077.16,空方確認,up,1,7826.49,,1,80%,"向上缺口(第1個,下緣7826)；候選:第一個多方反向缺口→僅進入觀察期，水位不變"
2026-03-11,7918.28,8002.94,7881.17,7914.57,7903.89,8067.54,中性,up,1,7826.49,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-03-12,7771.49,7805.25,7612.87,7643.17,7848.48,8035.1,空方確認,down,1,7881.17,,2,60%,"向下缺口(第1個,上緣7881)；候選:第一個反向缺口→第一次減碼一階 → State2；均線空方確認(新)；（均線空方確認於State2非有效觸發條件，不改變水位）"
2026-03-13,7744.01,7818.99,7617.98,7646.64,7803.31,8013.2,空方確認,down,1,7881.17,,2,60%,
2026-03-16,7846.29,7896.77,7762.06,7796.24,7769.2,7996.12,中性,down,1,7881.17,,2,60%,均線退回中性，追蹤中缺口未回補→盤整中
2026-03-17,7828.77,7866.59,7763.87,7836.83,7776.4,7981.16,中性,down,1,7881.17,,2,60%,均線退回中性，追蹤中缺口未回補→盤整中
2026-03-18,7883.13,7913.7,7794.26,7795.13,7764.46,7960.19,中性,down,1,7881.17,,2,60%,均線退回中性，追蹤中缺口未回補→盤整中
2026-03-19,7561.8,7913.35,7548.5,7863.3,7768.61,7944.69,中性,down,1,7881.17,,2,60%,均線退回中性，追蹤中缺口未回補→盤整中
2026-03-20,7862.66,7880.81,7572.08,7670.61,7784.2,7915.2,空方確認,down,1,7881.17,,2,60%,均線空方確認(新)；（均線空方確認於State2非有效觸發條件，不改變水位）
2026-03-23,7825.84,7958.0,7734.42,7773.13,7780.47,7893.19,空方確認,down,1,7881.17,,2,60%,
2026-03-24,7732.78,7924.41,7709.48,7872.71,7781.23,7870.21,多方確認,down,1,7881.17,,1,80%,均線多方確認(新)；候選:均線多方確認→回補一階 → State1
2026-03-25,7935.73,8025.65,7896.24,7967.75,7786.55,7845.22,多方確認,,0,,,0,100%,空方缺口回補(收盤確認)；候選:空方缺口回補→趨勢失敗，回升一階 → State0
2026-03-26,7823.77,7831.76,7582.86,7585.87,7780.82,7814.65,空方確認,down,1,7896.24,,2,60%,"向下缺口(第1個,上緣7896)；候選:第一個反向缺口→第一次減碼一階 → State1；均線空方確認(新)；候選:均線空方確認→第二次減碼觸發 → State2"
2026-03-27,7545.42,7611.6,7427.1,7457.67,7761.92,7782.62,空方確認,down,1,7896.24,,2,60%,
2026-03-30,7517.47,7546.68,7084.13,7142.33,7696.53,7732.87,空方確認,down,1,7896.24,,2,60%,
2026-03-31,7277.88,7591.33,7274.15,7588.2,7671.67,7724.03,空方確認,down,1,7896.24,,2,60%,
2026-04-01,7680.61,7893.75,7677.54,7802.31,7672.39,7718.42,多方確認,up,1,7591.33,,1,80%,"向上缺口(第1個,下緣7591)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線多方確認(新)；候選:均線多方確認→回補一階 → State1"
2026-04-02,7544.93,7843.74,7505.97,7833.39,7669.4,7719.01,多方確認,up,1,7591.33,,1,80%,
2026-04-06,7917.86,7963.65,7821.78,7916.11,7693.95,7739.07,多方確認,up,1,7591.33,,1,80%,
2026-04-07,7915.17,8006.34,7790.07,8003.87,7717.02,7748.75,多方確認,up,1,7591.33,,1,80%,
2026-04-08,8497.93,8526.39,8320.92,8510.92,7780.84,7781.04,多方確認,up,2,8006.34,,0,100%,"向上缺口(第2個,下緣8006)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-09,8561.18,8699.5,8543.56,8689.53,7853.02,7819.79,多方確認,up,3,8526.39,,0,100%,"向上缺口(第3個,下緣8526)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-10,8812.22,8962.95,8795.58,8889.83,7983.42,7882.12,多方確認,up,4,8699.5,,0,100%,"向上缺口(第4個,下緣8700)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-13,8873.31,9044.79,8837.96,9039.52,8141.6,7951.76,多方確認,up,4,8699.5,,0,100%,
2026-04-14,9133.29,9225.46,9042.15,9224.12,8349.78,8023.16,多方確認,up,4,8699.5,,0,100%,
2026-04-15,9189.23,9249.96,9035.11,9239.29,8514.89,8093.28,多方確認,up,4,8699.5,,0,100%,
2026-04-16,9215.93,9356.16,9144.98,9329.35,8667.59,8169.99,多方確認,up,4,8699.5,,0,100%,
2026-04-17,9477.89,9556.42,9419.13,9555.88,8839.84,8254.62,多方確認,up,5,9356.16,,0,100%,"向上缺口(第5個,下緣9356)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-20,9604.9,9612.09,9462.94,9599.21,9008.15,8351.05,多方確認,up,5,9356.16,,0,100%,
2026-04-21,9676.78,9721.4,9569.7,9647.21,9172.49,8444.75,多方確認,up,5,9356.16,,0,100%,
2026-04-22,9817.1,9914.08,9698.95,9909.27,9312.32,8546.58,多方確認,up,5,9356.16,,0,100%,
2026-04-23,9984.73,10206.18,9923.43,10078.57,9451.22,8652.12,多方確認,up,6,9914.08,,0,100%,"向上缺口(第6個,下緣9914)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-24,10463.81,10564.01,10270.96,10513.66,9613.61,8798.51,多方確認,up,7,10206.18,,0,100%,"向上缺口(第7個,下緣10206)；候選:第二個同向多方缺口→回補一階 → State0"
2026-04-27,10533.32,10536.86,10251.73,10408.04,9750.46,8946.03,多方確認,up,7,10206.18,,0,100%,
2026-04-28,9979.17,10184.99,9865.38,10035.58,9831.61,9090.69,多方確認,down,1,10251.73,,1,80%,"向下缺口(第1個,上緣10252)；候選:第一個反向缺口→第一次減碼一階 → State1"
2026-04-29,10192.33,10272.95,10113.21,10271.3,9934.81,9224.85,多方確認,,0,,,0,100%,空方缺口回補(收盤確認)；候選:空方缺口回補→趨勢失敗，回升一階 → State0
2026-04-30,10387.84,10516.39,10229.89,10503.7,10052.24,9359.92,多方確認,,0,,,0,100%,
2026-05-01,10388.82,10624.21,10364.4,10595.34,10156.19,9498.01,多方確認,,0,,,0,100%,
2026-05-04,10656.07,10690.47,10430.21,10534.66,10249.73,9628.94,多方確認,,0,,,0,100%,
2026-05-05,10759.21,11058.16,10718.49,10980.58,10383.07,9777.78,多方確認,up,1,10690.47,,0,100%,"向上缺口(第1個,下緣10690)；候選:第一個多方反向缺口→僅進入觀察期，水位不變"
2026-05-06,11243.83,11477.38,11062.95,11472.75,10539.42,9925.87,多方確認,up,2,11058.16,,0,100%,"向上缺口(第2個,下緣11058)；候選:第二個同向多方缺口→回補一階 → State0"
2026-05-07,11332.19,11404.37,11075.13,11160.99,10647.66,10049.44,多方確認,up,2,11058.16,,0,100%,
2026-05-08,11408.01,11776.74,11388.42,11775.5,10773.84,10193.73,多方確認,up,2,11058.16,,0,100%,
2026-05-11,11875.29,12108.67,11822.49,12081.04,10941.14,10345.8,多方確認,up,3,11776.74,,0,100%,"向上缺口(第3個,下緣11777)；候選:第二個同向多方缺口→回補一階 → State0"
2026-05-12,11741.47,11919.0,11263.58,11717.26,11109.31,10470.46,多方確認,,0,,,0,100%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位
2026-05-13,11988.75,12106.55,11739.17,12017.98,11283.98,10609.39,多方確認,,0,,,0,100%,
2026-05-14,11950.14,12141.54,11892.41,12073.78,11440.99,10746.62,多方確認,,0,,,0,100%,
2026-05-15,11672.54,11810.67,11522.27,11588.46,11540.3,10848.24,多方確認,down,1,11892.41,,1,80%,"向下缺口(第1個,上緣11892)；候選:第一個反向缺口→第一次減碼一階 → State1"
2026-05-18,11825.88,11825.88,11097.76,11302.52,11617.09,10933.41,中性,down,1,11892.41,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-05-19,11053.99,11513.99,10895.75,11305.5,11649.58,11016.32,中性,down,1,11892.41,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-05-20,11580.08,11818.39,11528.13,11813.29,11683.63,11111.53,多方確認,up,1,11513.99,,0,100%,"向上缺口(第1個,下緣11514)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線多方確認(新)；候選:均線多方確認→回補一階 → State0"
2026-05-21,11826.09,12003.01,11739.81,11964.08,11763.94,11205.8,多方確認,up,1,11513.99,,0,100%,
2026-05-22,12070.17,12304.52,12069.04,12202.54,11806.65,11290.24,多方確認,up,2,12003.01,,0,100%,"向上缺口(第2個,下緣12003)；候選:第二個同向多方缺口→回補一階 → State0"
2026-05-26,12616.63,12932.81,12548.24,12876.91,11886.23,11413.69,多方確認,up,3,12304.52,,0,100%,"向上缺口(第3個,下緣12305)；候選:第二個同向多方缺口→回補一階 → State0"
2026-05-27,13029.79,13037.91,12452.36,12702.19,11984.73,11547.02,多方確認,up,3,12304.52,,0,100%,
2026-05-28,12748.59,12961.19,12528.69,12829.14,12065.84,11674.91,多方確認,up,3,12304.52,,0,100%,
2026-05-29,12973.77,13115.28,12737.19,12829.38,12141.4,11791.19,多方確認,up,3,12304.52,,0,100%,
2026-06-01,12706.62,13088.01,12631.03,12965.65,12279.12,11909.71,多方確認,up,3,12304.52,,0,100%,
2026-06-02,13242.7,13733.72,13202.18,13726.27,12521.5,12069.29,多方確認,up,4,13088.01,,0,100%,"向上缺口(第4個,下緣13088)；候選:第二個同向多方缺口→回補一階 → State0"
2026-06-03,13971.15,13998.14,13554.37,13916.96,12782.64,12216.11,多方確認,up,4,13088.01,,0,100%,
2026-06-04,13243.66,13819.62,13041.28,13617.5,12963.06,12323.35,多方確認,up,4,13088.01,,0,100%,
2026-06-05,13062.55,13111.44,12217.32,12220.76,12988.73,12376.34,空方確認,,0,,,0,100%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位；均線空方確認(新)；（均線空方確認於State0非有效觸發條件，不改變水位）
2026-06-08,12838.88,13129.02,12676.74,12906.69,13059.15,12432.9,中性,,0,,,0,100%,
2026-06-09,13142.99,13264.12,11794.15,12657.81,13037.23,12461.73,中性,,0,,,0,100%,
2026-06-10,12501.84,12870.53,12157.66,12206.46,12987.66,12486.19,空方確認,,0,,,0,100%,均線空方確認(新)；（均線空方確認於State0非有效觸發條件，不改變水位）
2026-06-11,12506.65,13194.28,12475.23,13171.44,13021.89,12543.87,多方確認,,0,,,0,100%,均線多方確認(新)；候選:均線多方確認→回補一階 → State0
2026-06-12,13053.93,13513.44,12986.06,13371.47,13076.1,12608.75,多方確認,,0,,,0,100%,
2026-06-15,13901.24,14134.6,13860.32,14099.62,13189.5,12734.31,多方確認,up,1,13513.44,,0,100%,"向上缺口(第1個,下緣13513)；候選:第一個多方反向缺口→僅進入觀察期，水位不變"
2026-06-16,13968.28,14133.6,13291.75,13294.22,13146.29,12833.89,多方確認,,0,,,0,100%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位
2026-06-17,13694.01,13965.6,13471.22,13477.07,13102.3,12942.47,多方確認,,0,,,0,100%,
2026-06-18,14084.76,14461.79,14062.28,14341.78,13174.73,13068.9,多方確認,up,1,13965.6,,0,100%,"向上缺口(第1個,下緣13966)；候選:第一個多方反向缺口→僅進入觀察期，水位不變"
2026-06-22,14607.05,14655.29,14393.89,14634.72,13416.13,13202.43,多方確認,up,1,13965.6,,0,100%,
2026-06-23,13586.29,13857.16,13374.44,13482.51,13473.71,13266.43,多方確認,down,1,14393.89,,1,80%,"向下缺口(第1個,上緣14394)；候選:第一個反向缺口→第一次減碼一階 → State1"
2026-06-24,13484.17,13597.38,13115.83,13458.2,13553.75,13295.49,中性,down,1,14393.89,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-06-25,14156.43,14194.68,13379.94,13940.87,13727.19,13357.43,多方確認,down,1,14393.89,,0,100%,均線多方確認(新)；候選:均線多方確認→回補一階 → State0
2026-06-26,13419.14,13519.55,13159.24,13203.57,13730.4,13376.15,空方確認,down,1,14393.89,,0,100%,均線空方確認(新)；（均線空方確認於State0非有效觸發條件，不改變水位）
2026-06-29,13241.97,13733.35,12782.53,13709.66,13764.22,13420.16,中性,down,1,14393.89,,0,100%,均線退回中性，追蹤中缺口未回補→盤整中
2026-06-30,13787.92,14332.76,13750.67,14246.96,13778.96,13484.23,多方確認,up,1,13733.35,,0,100%,"向上缺口(第1個,下緣13733)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線多方確認(新)；候選:均線多方確認→回補一階 → State0"
2026-07-01,13718.08,13844.42,13322.63,13353.28,13784.86,13465.58,空方確認,,0,,,0,100%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位；均線空方確認(新)；（均線空方確認於State0非有效觸發條件，不改變水位）
2026-07-02,13268.22,13526.72,12374.41,12626.22,13699.78,13401.04,空方確認,,0,,,0,100%,
2026-07-06,12914.47,13252.54,12890.62,12900.14,13555.61,13365.17,空方確認,,0,,,0,100%,
2026-07-07,12375.86,12417.51,11960.84,12300.52,13322.19,13369.16,空方確認,down,1,12890.62,,1,80%,"向下缺口(第1個,上緣12891)；候選:第一個反向缺口→第一次減碼一階 → State1"
2026-07-08,12277.28,12615.37,12215.22,12574.97,13231.44,13352.57,空方確認,down,1,12890.62,,1,80%,
2026-07-09,13119.41,13249.07,12915.54,12960.0,13181.62,13367.68,空方確認,up,1,12615.37,是,1,80%,"向上缺口(第1個,下緣12615)；候選:第一個多方反向缺口→僅進入觀察期，水位不變"
2026-07-10,12779.22,13065.02,12656.87,12967.16,13084.25,13405.72,空方確認,up,1,12615.37,是,1,80%,
2026-07-13,12563.63,12646.78,12289.05,12347.78,12998.67,13364.54,空方確認,down,1,12656.87,,2,60%,"向下缺口(第1個,上緣12657)；候選:第一個反向缺口→第一次減碼一階 → State2"
2026-07-14,12837.38,12846.29,12489.54,12661.93,12893.9,13329.06,空方確認,,0,,,1,80%,空方缺口回補(收盤確認)；候選:空方缺口回補→趨勢失敗，回升一階 → State1
2026-07-15,12774.43,12785.4,12022.94,12398.89,12709.09,13244.02,空方確認,,0,,,1,80%,
2026-07-16,12114.97,12191.41,11768.96,11867.5,12560.51,13172.69,空方確認,,0,,,1,80%,
2026-07-17,11485.89,11939.44,11194.6,11673.89,12465.28,13082.53,空方確認,,0,,,1,80%,
2026-07-20,11952.7,12071.83,11718.21,11743.85,12349.65,12952.63,空方確認,,0,,,1,80%,
2026-07-21,12311.28,12404.11,12085.99,12356.16,12355.21,12838.7,中性,up,1,12071.83,,1,80%,"向上缺口(第1個,下緣12072)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線退回中性，追蹤中缺口未回補→盤整中"
2026-07-22,12123.32,12525.71,12113.95,12410.67,12338.78,12785.11,中性,up,1,12071.83,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-07-23,12235.8,12480.88,12188.05,12343.84,12277.17,12729.39,中性,up,1,12071.83,,1,80%,均線退回中性，追蹤中缺口未回補→盤整中
2026-07-24,12131.29,12261.52,11711.39,11818.88,12162.34,12623.29,空方確認,,0,,,2,60%,多方缺口回補(收盤確認)；候選:多方缺口回補→僅重置追蹤，不影響水位；均線空方確認(新)；候選:均線空方確認→第二次減碼觸發 → State2
2026-07-27,11888.9,11949.46,11217.35,11554.88,12083.05,12540.86,空方確認,,0,,,2,60%,
2026-07-28,11150.04,11187.44,10799.84,11035.68,11920.42,12407.16,空方確認,down,1,11217.35,,3,50%,"向下缺口(第1個,上緣11217)；候選:第一個反向缺口→第一次減碼一階 → State3"
2026-07-29,11011.87,11125.05,10445.44,10447.49,11725.28,12217.19,空方確認,down,1,11217.35,,3,50%,
2026-07-30,11085.96,11406.82,10963.89,11302.99,11668.83,12114.67,空方確認,,0,,,2,60%,空方缺口回補(收盤確認)；候選:空方缺口回補→趨勢失敗，回升一階 → State2
2026-07-31,11715.46,11885.74,11231.79,11311.08,11632.55,12048.91,空方確認,,0,,,2,60%,
2026-08-03,11046.09,11495.28,10922.31,11430.35,11601.2,11975.43,空方確認,,0,,,2,60%,
2026-08-04,11834.77,12258.08,11834.77,12179.26,11583.51,11969.36,多方確認,up,1,11495.28,,1,80%,"向上缺口(第1個,下緣11495)；候選:第一個多方反向缺口→僅進入觀察期，水位不變；均線多方確認(新)；候選:均線多方確認→回補一階 → State1"
2026-08-05,12141.69,12361.25,11979.94,12008.88,11543.33,11941.06,多方確認,up,1,11495.28,,1,80%,
